Level 8, Oh 1.0e-02, Oha 1.0e-04, De 0.0e+00, Ec 0.0e+00
i dt t ke ymin
393 0.00151515 0.578788 0.0357016 0.49493
394 0.00151515 0.580303 0.0358531 0.494904
395 0.00151515 0.581818 0.036005 0.494877
396 0.00151515 0.583333 0.0361573 0.494851
397 0.00151515 0.584848 0.0363099 0.494824
398 0.00151515 0.586364 0.036463 0.494798
399 0.00151515 0.587879 0.0366165 0.494771
400 0.00151515 0.589394 0.0367704 0.494744
401 0.00151515 0.590909 0.0369247 0.494717
402 0.00151515 0.592424 0.0370795 0.494691
403 0.00151515 0.593939 0.0372346 0.494664
404 0.00151515 0.595455 0.0373897 0.494637
405 0.00151515 0.59697 0.0375458 0.494609
406 0.00151515 0.598485 0.0377022 0.494582
407 0.00151515 0.6 0.0378589 0.494555
408 0.00151515 0.601515 0.038016 0.494528
409 0.00151515 0.60303 0.0381703 0.494501
410 0.00151515 0.604545 0.0383268 0.494473
411 0.00151515 0.606061 0.0384851 0.494446
412 0.00151515 0.607576 0.0386439 0.494418
413 0.00151515 0.609091 0.038803 0.494391
414 0.00151515 0.610606 0.0389626 0.494363
415 0.00151515 0.612121 0.0391225 0.494335
416 0.00151515 0.613636 0.0392829 0.494307
417 0.00151515 0.615152 0.0394436 0.49428
418 0.00151515 0.616667 0.0396048 0.494252
419 0.00151515 0.618182 0.0397664 0.494224
420 0.00151515 0.619697 0.0399284 0.494196
421 0.00151515 0.621212 0.0400908 0.494167
422 0.00151515 0.622727 0.0402536 0.494139
423 0.00151515 0.624242 0.0404125 0.494111
424 0.00151515 0.625758 0.0405759 0.494083
425 0.00151515 0.627273 0.0407399 0.494054
426 0.00151515 0.628788 0.0409043 0.494026
427 0.00151515 0.630303 0.0410692 0.493997
428 0.00151515 0.631818 0.0412344 0.493969
429 0.00151515 0.633333 0.0414 0.49394
430 0.00151515 0.634848 0.0415661 0.493911
431 0.00151515 0.636364 0.0417326 0.493883
432 0.00151515 0.637879 0.0418994 0.493854
433 0.00151515 0.639394 0.0420667 0.493825
434 0.00151515 0.640909 0.0422344 0.493796
435 0.00151515 0.642424 0.0424026 0.493767
436 0.00151515 0.643939 0.0425711 0.493738
437 0.00151515 0.645455 0.04274 0.493709
438 0.00151515 0.64697 0.0429093 0.493679
439 0.00151515 0.648485 0.043079 0.49365
440 0.00151515 0.65 0.0432492 0.493621
441 0.00151515 0.651515 0.0434198 0.493591
442 0.00151515 0.65303 0.0435908 0.493562
443 0.00151515 0.654545 0.0437622 0.493532
444 0.00151515 0.656061 0.043934 0.493503
445 0.00151515 0.657576 0.0441063 0.493473
446 0.00151515 0.659091 0.044279 0.493443
447 0.00151515 0.660606 0.044452 0.493414
448 0.00151515 0.662121 0.0446255 0.493384
449 0.00151515 0.663636 0.0447994 0.493354
450 0.00151515 0.665152 0.0449736 0.493324
451 0.00151515 0.666667 0.0451484 0.493294
452 0.00151515 0.668182 0.0453235 0.493264
453 0.00151515 0.669697 0.0454991 0.493233
454 0.00151515 0.671212 0.0456751 0.493203
455 0.00151515 0.672727 0.0458516 0.493173
456 0.00151515 0.674242 0.0460284 0.493142
457 0.00151515 0.675758 0.0462057 0.493112
458 0.00151515 0.677273 0.0463834 0.493081
459 0.00151515 0.678788 0.0465616 0.493051
460 0.00151515 0.680303 0.0467402 0.49302
461 0.00151515 0.681818 0.0469192 0.49299
462 0.00151515 0.683333 0.0470987 0.492959
463 0.00151515 0.684848 0.0472786 0.492928
464 0.00151515 0.686364 0.0474589 0.492897
465 0.00151515 0.687879 0.0476397 0.492866
466 0.00151515 0.689394 0.047821 0.492835
467 0.00151515 0.690909 0.0480026 0.492804
468 0.00151515 0.692424 0.0481847 0.492773
469 0.00151515 0.693939 0.0483673 0.492742
470 0.00151515 0.695455 0.0485502 0.49271
471 0.00151515 0.69697 0.0487336 0.492679
472 0.00151515 0.698485 0.0489174 0.492648
473 0.00151515 0.7 0.0491017 0.492616
474 0.00151515 0.701515 0.0492864 0.492585
475 0.00151515 0.70303 0.0494716 0.492553
476 0.00151515 0.704545 0.0496572 0.492521
477 0.00151515 0.706061 0.0498432 0.49249
478 0.00151515 0.707576 0.0500297 0.492458
479 0.00151515 0.709091 0.0502167 0.492426
480 0.00151515 0.710606 0.050404 0.492394
481 0.00151515 0.712121 0.0505918 0.492362
482 0.00151515 0.713636 0.05078 0.49233
483 0.00151515 0.715152 0.0509686 0.492298
484 0.00151515 0.716667 0.0511576 0.492266
485 0.00151515 0.718182 0.0513471 0.492234
486 0.00151515 0.719697 0.0515369 0.492201
